IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:393d:9112:13ab:ec2e:58aa,4,4,0.00,147.06,23.89
2606:4700:0:39d1:ae08:fa93:8694:572e,4,4,0.00,150.04,12.26
2606:4700:0:e8fb:e363:93e4:790c:87ad,4,4,0.00,148.61,11.97
2606:4700:0:bc7e:b6ef:fdaf:475a:486e,4,4,0.00,150.87,0.00
2606:4700:0:bc7e:b6ef:fdaf:7dbd:26e7,4,4,0.00,151.02,0.00
2606:4700:0:e67c:e1ca:e961:477:7864,4,4,0.00,151.31,0.00
2606:4700:0:e6bf:b90:ed6f:6dbf:9ede,4,4,0.00,151.58,0.00
2606:4700:0:85:b650:b35:3b87:cdde,4,4,0.00,151.66,0.00
2606:4700:0:39d1:f3d8:ac0a:d5d1:a689,4,4,0.00,151.70,0.00
2606:4700:0:3951:ebcf:fd98:f5a2:88bb,4,4,0.00,152.64,0.00
